2023-01-16/19:18:27 		 Opened Prediction database successfully 
2023-01-16/19:18:27 		 Closed Prediction database successfully 
2023-01-16/19:18:27 		 Opened Prediction database successfully 
2023-01-17/01:32:56 		 Opened Prediction database successfully 
2023-01-17/01:32:57 		 Closed Prediction database successfully 
2023-01-17/01:32:57 		 Opened Prediction database successfully 
2023-01-17/11:35:40 		 Opened Prediction database successfully 
2023-01-17/11:35:40 		 Closed Prediction database successfully 
2023-01-17/11:35:40 		 Opened Prediction database successfully 
2023-01-17/12:03:11 		 Opened Prediction database successfully 
2023-01-17/12:04:16 		 Closed Prediction database successfully 
2023-01-17/12:04:22 		 Opened Prediction database successfully 
2023-01-17/12:05:20 		 Opened Prediction database successfully 
2023-01-17/12:09:48 		 Opened Prediction database successfully 
2023-01-17/12:09:49 		 Closed Prediction database successfully 
2023-01-17/12:09:49 		 Opened Prediction database successfully 
2023-01-17/12:10:05 		 Opened Prediction database successfully 
2023-01-17/12:12:45 		 Opened Prediction database successfully 
2023-01-17/12:12:45 		 Closed Prediction database successfully 
2023-01-17/12:12:45 		 Opened Prediction database successfully 
2023-01-17/12:13:03 		 Opened Prediction database successfully 
2023-01-17/12:14:14 		 Opened Prediction database successfully 
2023-01-17/12:14:14 		 Closed Prediction database successfully 
2023-01-17/12:14:14 		 Opened Prediction database successfully 
2023-01-17/12:14:32 		 Opened Prediction database successfully 
2023-01-17/12:16:40 		 Opened Prediction database successfully 
2023-01-17/12:16:40 		 Closed Prediction database successfully 
2023-01-17/12:16:40 		 Opened Prediction database successfully 
2023-01-17/12:16:58 		 Opened Prediction database successfully 
2023-01-17/12:55:57 		 Opened Prediction database successfully 
2023-01-17/12:55:57 		 Closed Prediction database successfully 
2023-01-17/12:55:57 		 Opened Prediction database successfully 
2023-01-17/12:56:10 		 Opened Prediction database successfully 
2023-01-17/12:59:14 		 Opened Prediction database successfully 
2023-01-17/12:59:14 		 Closed Prediction database successfully 
2023-01-17/12:59:14 		 Opened Prediction database successfully 
2023-01-17/12:59:30 		 Opened Prediction database successfully 
2023-01-17/13:01:40 		 Opened Prediction database successfully 
2023-01-17/13:01:40 		 Closed Prediction database successfully 
2023-01-17/13:01:40 		 Opened Prediction database successfully 
2023-01-17/13:01:56 		 Opened Prediction database successfully 
2023-01-17/13:05:34 		 Opened Prediction database successfully 
2023-01-17/13:05:34 		 Closed Prediction database successfully 
2023-01-17/13:05:34 		 Opened Prediction database successfully 
2023-01-17/13:05:41 		 Opened Prediction database successfully 
2023-01-17/13:16:23 		 Opened Prediction database successfully 
2023-01-17/13:16:23 		 Closed Prediction database successfully 
2023-01-17/13:16:23 		 Opened Prediction database successfully 
2023-01-17/13:16:38 		 Opened Prediction database successfully 
2023-01-17/13:19:02 		 Opened Prediction database successfully 
2023-01-17/13:19:05 		 Closed Prediction database successfully 
2023-01-17/13:19:05 		 Opened Prediction database successfully 
2023-01-17/13:19:21 		 Opened Prediction database successfully 
2023-01-17/16:11:42 		 Opened Prediction database successfully 
2023-01-17/16:11:42 		 Closed Prediction database successfully 
2023-01-17/16:11:42 		 Opened Prediction database successfully 
2023-01-17/16:11:53 		 Opened Prediction database successfully 
2023-01-17/16:15:28 		 Opened Prediction database successfully 
2023-01-17/16:15:28 		 Closed Prediction database successfully 
2023-01-17/16:15:28 		 Opened Prediction database successfully 
2023-01-17/16:15:37 		 Opened Prediction database successfully 
2023-01-17/16:20:05 		 Opened Prediction database successfully 
2023-01-17/16:20:05 		 Closed Prediction database successfully 
2023-01-17/16:20:05 		 Opened Prediction database successfully 
2023-01-17/16:20:15 		 Opened Prediction database successfully 
2023-01-17/16:24:03 		 Opened Prediction database successfully 
2023-01-17/16:24:03 		 Closed Prediction database successfully 
2023-01-17/16:24:03 		 Opened Prediction database successfully 
2023-01-17/16:24:14 		 Opened Prediction database successfully 
2023-01-17/16:35:16 		 Opened Prediction database successfully 
2023-01-17/16:35:16 		 Closed Prediction database successfully 
2023-01-17/16:35:16 		 Opened Prediction database successfully 
2023-01-17/16:35:26 		 Opened Prediction database successfully 
2023-01-17/16:36:16 		 Opened Prediction database successfully 
2023-01-17/16:36:17 		 Closed Prediction database successfully 
2023-01-17/16:36:17 		 Opened Prediction database successfully 
2023-01-17/16:36:28 		 Opened Prediction database successfully 
