2023-01-16/19:18:26 		 Column Length Validation Started!! 
2023-01-16/19:18:27 		 Invalid Column Length for the file!! File moved to Bad Raw Folder :: creditCardFraud_28011963_120213.csv 
2023-01-16/19:18:27 		 Column Length Validation Completed!! 
2023-01-17/01:32:56 		 Column Length Validation Started!! 
2023-01-17/01:32:56 		 Invalid Column Length for the file!! File moved to Bad Raw Folder :: creditCardFraud_28011963_120213.csv 
2023-01-17/01:32:56 		 Column Length Validation Completed!! 
2023-01-17/11:35:40 		 Column Length Validation Started!! 
2023-01-17/11:35:40 		 Invalid Column Length for the file!! File moved to Bad Raw Folder :: creditCardFraud_28011963_120213.csv 
2023-01-17/11:35:40 		 Column Length Validation Completed!! 
2023-01-17/11:59:01 		 Column Length Validation Started!! 
2023-01-17/11:59:17 		 Invalid Column Length for the file!! File moved to Bad Raw Folder :: creditCardFraud_28011963_120213.csv 
2023-01-17/11:59:21 		 Column Length Validation Completed!! 
2023-01-17/12:09:48 		 Column Length Validation Started!! 
2023-01-17/12:09:48 		 Invalid Column Length for the file!! File moved to Bad Raw Folder :: creditCardFraud_28011963_120213.csv 
2023-01-17/12:09:48 		 Column Length Validation Completed!! 
2023-01-17/12:12:44 		 Column Length Validation Started!! 
2023-01-17/12:12:45 		 Invalid Column Length for the file!! File moved to Bad Raw Folder :: creditCardFraud_28011963_120213.csv 
2023-01-17/12:12:45 		 Column Length Validation Completed!! 
2023-01-17/12:14:13 		 Column Length Validation Started!! 
2023-01-17/12:14:13 		 Invalid Column Length for the file!! File moved to Bad Raw Folder :: creditCardFraud_28011963_120213.csv 
2023-01-17/12:14:13 		 Column Length Validation Completed!! 
2023-01-17/12:16:40 		 Column Length Validation Started!! 
2023-01-17/12:16:40 		 Invalid Column Length for the file!! File moved to Bad Raw Folder :: creditCardFraud_28011963_120213.csv 
2023-01-17/12:16:40 		 Column Length Validation Completed!! 
2023-01-17/12:55:56 		 Column Length Validation Started!! 
2023-01-17/12:55:56 		 Invalid Column Length for the file!! File moved to Bad Raw Folder :: creditCardFraud_28011963_120213.csv 
2023-01-17/12:55:56 		 Column Length Validation Completed!! 
2023-01-17/12:59:13 		 Column Length Validation Started!! 
2023-01-17/12:59:13 		 Invalid Column Length for the file!! File moved to Bad Raw Folder :: creditCardFraud_28011963_120213.csv 
2023-01-17/12:59:13 		 Column Length Validation Completed!! 
2023-01-17/13:01:40 		 Column Length Validation Started!! 
2023-01-17/13:01:40 		 Invalid Column Length for the file!! File moved to Bad Raw Folder :: creditCardFraud_28011963_120213.csv 
2023-01-17/13:01:40 		 Column Length Validation Completed!! 
2023-01-17/13:05:34 		 Column Length Validation Started!! 
2023-01-17/13:05:34 		 Column Length Validation Completed!! 
