2023-01-16/19:18:27 		  creditCardFraud_28011960_120210.csv: File Transformed successfully!! 
2023-01-16/19:18:27 		  creditCardFraud_28011962_120212.csv: File Transformed successfully!! 
2023-01-17/01:32:56 		  creditCardFraud_28011960_120210.csv: File Transformed successfully!! 
2023-01-17/01:32:56 		  creditCardFraud_28011962_120212.csv: File Transformed successfully!! 
2023-01-17/11:35:40 		  creditCardFraud_28011960_120210.csv: File Transformed successfully!! 
2023-01-17/11:35:40 		  creditCardFraud_28011962_120212.csv: File Transformed successfully!! 
2023-01-17/12:02:19 		  creditCardFraud_28011960_120210.csv: File Transformed successfully!! 
2023-01-17/12:02:33 		  creditCardFraud_28011962_120212.csv: File Transformed successfully!! 
2023-01-17/12:09:48 		  creditCardFraud_28011960_120210.csv: File Transformed successfully!! 
2023-01-17/12:09:48 		  creditCardFraud_28011962_120212.csv: File Transformed successfully!! 
2023-01-17/12:12:45 		  creditCardFraud_28011960_120210.csv: File Transformed successfully!! 
2023-01-17/12:12:45 		  creditCardFraud_28011962_120212.csv: File Transformed successfully!! 
2023-01-17/12:14:14 		  creditCardFraud_28011960_120210.csv: File Transformed successfully!! 
2023-01-17/12:14:14 		  creditCardFraud_28011962_120212.csv: File Transformed successfully!! 
2023-01-17/12:16:40 		  creditCardFraud_28011960_120210.csv: File Transformed successfully!! 
2023-01-17/12:16:40 		  creditCardFraud_28011962_120212.csv: File Transformed successfully!! 
2023-01-17/12:55:57 		  creditCardFraud_28011960_120210.csv: File Transformed successfully!! 
2023-01-17/12:55:57 		  creditCardFraud_28011962_120212.csv: File Transformed successfully!! 
2023-01-17/12:59:13 		  creditCardFraud_28011960_120210.csv: File Transformed successfully!! 
2023-01-17/12:59:14 		  creditCardFraud_28011962_120212.csv: File Transformed successfully!! 
2023-01-17/13:01:40 		  creditCardFraud_28011960_120210.csv: File Transformed successfully!! 
2023-01-17/13:01:40 		  creditCardFraud_28011962_120212.csv: File Transformed successfully!! 
2023-01-17/13:05:34 		  creditCardFraud_28011960_120210.csv: File Transformed successfully!! 
