2020-02-19/16:38:34		 creditCardFraud_021119920_010222.csv: Quotes added successfully!!
2020-02-19/16:50:10		 creditCardFraud_021119920_010222.csv: Quotes added successfully!!
2020-02-19/16:53:17		 creditCardFraud_021119920_010222.csv: Quotes added successfully!!
2020-02-19/17:47:57		 creditCardFraud_021119920_010222.csv: Quotes added successfully!!
2020-02-19/18:49:21		 creditCardFraud_021119920_010222.csv: Quotes added successfully!!
2020-02-19/18:50:04		 creditCardFraud_021119920_010222.csv: Quotes added successfully!!
2023-01-15/17:23:47 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/17:26:21 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/17:28:38 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/17:43:48 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/18:10:12 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/18:10:38 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/18:15:45 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/18:20:56 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/18:26:29 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/18:42:15 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/18:49:59 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/18:54:29 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/19:01:21 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/19:11:49 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/19:28:47 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/19:40:39 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/20:10:30 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/20:14:22 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/20:22:00 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/21:06:05 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
2023-01-15/21:32:37 		  creditCardFraud_28011960_120210.csv: Quotes added successfully!! 
