2023-01-15/17:43:47 		 Start of Validation on files for Training 
2023-01-15/17:43:47 		 Raw Data Validation Complete!! 
2023-01-15/17:43:47 		 Starting Data Transforamtion!! 
2023-01-15/17:43:48 		 DataTransformation Completed!!! 
2023-01-15/17:43:48 		 Creating Training_Database and tables on the basis of given schema!!! 
2023-01-15/17:43:48 		 Table creation Completed!! 
2023-01-15/17:43:48 		 Insertion of Data into Table started!!!! 
2023-01-15/17:48:33 		 Insertion in Table completed!!! 
2023-01-15/17:48:34 		 Deleting Good Data Folder!!! 
2023-01-15/17:48:37 		 Good_Data folder deleted!!! 
2023-01-15/17:48:38 		 Moving bad files to Archive and deleting Bad_Data folder!!! 
2023-01-15/17:48:41 		 Bad files moved to archive!! Bad folder Deleted!! 
2023-01-15/17:48:41 		 Validation Operation completed!! 
2023-01-15/17:48:42 		 Extracting csv file from table 
2023-01-15/18:10:37 		 Start of Validation on files for Training 
2023-01-15/18:10:37 		 Raw Data Validation Complete!! 
2023-01-15/18:10:37 		 Starting Data Transforamtion!! 
2023-01-15/18:10:38 		 DataTransformation Completed!!! 
2023-01-15/18:10:38 		 Creating Training_Database and tables on the basis of given schema!!! 
2023-01-15/18:10:38 		 Table creation Completed!! 
2023-01-15/18:10:38 		 Insertion of Data into Table started!!!! 
2023-01-15/18:12:56 		 Insertion in Table completed!!! 
2023-01-15/18:12:56 		 Deleting Good Data Folder!!! 
2023-01-15/18:12:56 		 Good_Data folder deleted!!! 
2023-01-15/18:12:56 		 Moving bad files to Archive and deleting Bad_Data folder!!! 
2023-01-15/18:12:56 		 Bad files moved to archive!! Bad folder Deleted!! 
2023-01-15/18:12:56 		 Validation Operation completed!! 
2023-01-15/18:12:56 		 Extracting csv file from table 
2023-01-15/18:15:44 		 Start of Validation on files for Training 
2023-01-15/18:15:45 		 Raw Data Validation Complete!! 
2023-01-15/18:15:45 		 Starting Data Transforamtion!! 
2023-01-15/18:15:45 		 DataTransformation Completed!!! 
2023-01-15/18:15:45 		 Creating Training_Database and tables on the basis of given schema!!! 
2023-01-15/18:15:45 		 Table creation Completed!! 
2023-01-15/18:15:45 		 Insertion of Data into Table started!!!! 
2023-01-15/18:18:06 		 Insertion in Table completed!!! 
2023-01-15/18:18:06 		 Deleting Good Data Folder!!! 
2023-01-15/18:18:06 		 Good_Data folder deleted!!! 
